CMDLINE /scrap/users/blazquez/.conda/envs/pyeddl_cpu/bin/python3.8 6_drive_memoryusage.py
MEM 8784.132812 1619776247.2132
MEM 8922.703125 1619776247.3135
MEM 8922.703125 1619776247.4137
MEM 8922.703125 1619776247.5139
MEM 8922.703125 1619776247.6141
MEM 8922.703125 1619776247.7143
MEM 8922.703125 1619776247.8147
MEM 8922.703125 1619776247.9150
MEM 8922.703125 1619776248.0154
MEM 8922.703125 1619776248.1157
MEM 8922.703125 1619776248.2160
MEM 8922.703125 1619776248.3164
MEM 8777.445312 1619776248.4174
MEM 8839.535156 1619776248.5178
MEM 8875.238281 1619776248.6181
MEM 8901.273438 1619776248.7183
MEM 8919.320312 1619776248.8185
MEM 8937.367188 1619776248.9189
MEM 8955.414062 1619776249.0192
MEM 8979.132812 1619776249.1196
MEM 9021.449219 1619776249.2199
MEM 9021.449219 1619776249.3203
MEM 9021.449219 1619776249.4205
MEM 9021.449219 1619776249.5207
MEM 9021.449219 1619776249.6209
MEM 9023.765625 1619776249.7225
MEM 9050.527344 1619776249.8227
MEM 9059.546875 1619776249.9230
MEM 9068.570312 1619776250.0232
MEM 9086.359375 1619776250.1234
MEM 9095.640625 1619776250.2236
MEM 9104.664062 1619776250.3238
MEM 9113.687500 1619776250.4240
MEM 9122.710938 1619776250.5242
MEM 9131.734375 1619776250.6244
MEM 9140.500000 1619776250.7247
MEM 9149.523438 1619776250.8249
MEM 9167.656250 1619776250.9251
MEM 9176.710938 1619776251.0253
MEM 9185.507812 1619776251.1255
MEM 9238.023438 1619776251.2257
MEM 9238.023438 1619776251.3259
MEM 9238.062500 1619776251.4262
MEM 9238.062500 1619776251.5265
MEM 9238.062500 1619776251.6269
MEM 9238.062500 1619776251.7272
MEM 9238.062500 1619776251.8275
MEM 9238.062500 1619776251.9278
MEM 9238.062500 1619776252.0281
MEM 9238.062500 1619776252.1284
MEM 9250.273438 1619776252.2292
MEM 9265.707031 1619776252.3296
MEM 9287.359375 1619776252.4299
MEM 9305.406250 1619776252.5302
MEM 9306.582031 1619776252.6304
MEM 9306.617188 1619776252.7306
MEM 9306.617188 1619776252.8308
MEM 9306.617188 1619776252.9311
MEM 9306.617188 1619776253.0313
MEM 9341.703125 1619776253.1321
MEM 9359.960938 1619776253.2323
MEM 9359.960938 1619776253.3325
MEM 9377.750000 1619776253.4327
MEM 9378.781250 1619776253.5329
MEM 9395.796875 1619776253.6331
MEM 9413.843750 1619776253.7334
MEM 9413.843750 1619776253.8336
MEM 9415.273438 1619776253.9338
MEM 9415.312500 1619776254.0340
MEM 9415.312500 1619776254.1342
MEM 9415.312500 1619776254.2345
MEM 9415.312500 1619776254.3348
MEM 9415.312500 1619776254.4351
MEM 9415.312500 1619776254.5354
MEM 9415.312500 1619776254.6358
MEM 9415.312500 1619776254.7361
MEM 9415.312500 1619776254.8365
MEM 9451.187500 1619776254.9372
